Epoch 481, Validation Loss: 0.056
Epoch 482, Validation Loss: 0.054
Epoch 483, Validation Loss: 0.055
Epoch 484, Validation Loss: 0.055
Epoch 485, Validation Loss: 0.051
Epoch 486, Validation Loss: 0.053
Epoch 487, Validation Loss: 0.046
Epoch 488, Validation Loss: 0.057
Epoch 489, Validation Loss: 0.059
Epoch 490, Validation Loss: 0.057
Epoch 491, Validation Loss: 0.051
Epoch 492, Validation Loss: 0.062
Epoch 493, Validation Loss: 0.062
Epoch 494, Validation Loss: 0.062
Epoch 495, Validation Loss: 0.054
Epoch 496, Validation Loss: 0.064
Epoch 497, Validation Loss: 0.052
Epoch 498, Validation Loss: 0.059
Epoch 499, Validation Loss: 0.059
Epoch 500, Validation Loss: 0.063
Epoch 501, Validation Loss: 0.062
Epoch 502, Validation Loss: 0.059
Epoch 503, Validation Loss: 0.053
Epoch 504, Validation Loss: 0.053
Epoch 505, Validation Loss: 0.052
Epoch 506, Validation Loss: 0.050
Epoch 507, Validation Loss: 0.053
Epoch 508, Validation Loss: 0.057
Epoch 509, Validation Loss: 0.066
Epoch 510, Validation Loss: 0.056
Epoch 511, Validation Loss: 0.052
Epoch 512, Validation Loss: 0.073
Epoch 513, Validation Loss: 0.060
Epoch 514, Validation Loss: 0.067
Epoch 515, Validation Loss: 0.055
Epoch 516, Validation Loss: 0.071
Epoch 517, Validation Loss: 0.051
Epoch 518, Validation Loss: 0.058
Epoch 519, Validation Loss: 0.052
Epoch 520, Validation Loss: 0.060
Epoch 521, Validation Loss: 0.072
Epoch 522, Validation Loss: 0.048
Epoch 523, Validation Loss: 0.048
Epoch 524, Validation Loss: 0.051
Epoch 525, Validation Loss: 0.056
Epoch 526, Validation Loss: 0.060
Epoch 527, Validation Loss: 0.063
Epoch 528, Validation Loss: 0.051
Epoch 529, Validation Loss: 0.066
Epoch 530, Validation Loss: 0.050
Epoch 531, Validation Loss: 0.049
Epoch 532, Validation Loss: 0.053
Epoch 533, Validation Loss: 0.061
Epoch 534, Validation Loss: 0.057
Epoch 535, Validation Loss: 0.063
Epoch 536, Validation Loss: 0.074
Epoch 537, Validation Loss: 0.062
Epoch 538, Validation Loss: 0.065
Epoch 539, Validation Loss: 0.078
Epoch 540, Validation Loss: 0.059
Epoch 541, Validation Loss: 0.071
Epoch 542, Validation Loss: 0.062
Epoch 543, Validation Loss: 0.075
Epoch 544, Validation Loss: 0.062
Epoch 545, Validation Loss: 0.046
Epoch 546, Validation Loss: 0.058
Epoch 547, Validation Loss: 0.059
